RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Outcome
1.51625272,13.35675,3.57853,1.49054,72.722,0.44711999999999996,8.20608,0.0,0.0, positive
1.51859906,13.35675,3.43036,1.42955,72.2628,0.50922,8.6042,0.0,0.0, positive
1.5173006000000002,12.3526,2.72094,1.62857,72.8676,0.70173,9.22828,0.0,0.0, positive
1.5170728,13.4831,3.47975,1.70882,72.5204,0.621,7.990880000000001,0.0,0.0, positive
1.51805234,12.99765,3.79854,1.07966,73.0692,0.5589,8.37824,0.0,0.0612, positive
1.51591102,13.0176,3.57853,1.5098,73.1196,0.6893100000000001,7.9586,0.0,0.0, positive
1.51568322,13.23705,3.4887300000000003,1.47128,73.2484,0.37881,8.03392,0.0,0.0, positive
1.51841682,12.93115,3.7401699999999996,1.10855,72.2796,0.63963,8.95928,0.0,0.1122, positive
1.53393,12.2994,0.0,0.99941,70.1628,0.11799000000000001,16.19,0.0,0.1224, positive
1.5277794,12.63855,0.0,0.66878,72.02199999999999,0.0621,14.403839999999999,0.0,0.0, positive
1.52019366,13.98185,1.3514899999999999,1.62857,71.7588,0.39123,10.56252,0.0,0.51, positive
1.51800678,13.7092,3.92875,1.53869,71.8092,0.54027,8.20608,0.0,0.0765, positive
1.51591102,12.8181,3.5201599999999997,1.90142,72.862,0.6893100000000001,7.969360000000001,0.0,0.0, positive
1.5163893999999998,12.5521,3.47975,1.86932,73.2316,0.62721,8.07696,0.0,0.45899999999999996, positive
1.51591102,13.23705,3.34056,1.47128,73.0972,0.39123,8.21684,0.0,0.0, positive
1.51654886,12.7516,2.85115,1.43918,73.2708,0.5713199999999999,8.78712,0.11025,0.1122, positive
1.5167311,13.2969,3.6413900000000003,1.52906,72.5316,0.65205,8.03392,0.0,0.1479, positive
1.52176548,13.19715,3.6818,1.15028,72.75,0.54027,8.51812,0.0,0.0, positive
1.5167311,12.8713,3.56057,1.6414099999999998,73.142,0.65205,7.990880000000001,0.0,0.0, positive
1.51595658,13.0176,3.56057,1.53869,73.1084,0.72036,7.9048,0.0,0.0, positive
1.51408862,14.24785,3.08912,2.08118,72.2796,1.09917,7.076280000000001,0.0,0.0, positive
1.53124196,10.73,0.0,2.1004400000000003,69.81,0.57753,13.29556,3.15,0.1428, positive
1.51846238,13.40995,3.8883400000000004,1.33004,72.3804,0.50922,8.2814,0.0,0.0, positive
1.52067204,13.5496,2.08785,1.6703,72.1788,0.52785,9.5726,0.2709,0.0867, positive
1.5167311,12.7915,3.5201599999999997,1.53869,73.3604,0.6582600000000001,7.9048,0.0,0.0, positive
1.51659442,12.991,3.17892,1.23053,72.9684,0.57753,8.808639999999999,0.0,0.1224, positive
